id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
15p0b3cJkJZm43QGl2gDsP,You Are Always on the Edge of a Precipice,Boduf Songs,10,2019-10-04,0.29,0.105,5,-24.769,0,0.866,0.564,0.0901,0.0325,69.285,189323,3
1sKqP1RUuqQZHGNp0C1kJJ,TMNT Mask,Chad VanGaalen,18,2008-09-09,0.648,0.834,9,-7.158,0,0.0327,0.142,0.0586,0.748,121.31,209227,4
6YcfAU2P3KETyULHliTWXn,Enth,Crystal Castles,40,2016-08-19,0.58,0.854,5,-8.516,0,0.00371,0.18,0.119,0.177,127.091,209080,4
0ZST9shTPfs6mO5ANB6kNG,Drip Drip,Comus,31,1971-01-01,0.428,0.87,11,-6.475,0,0.456,0.0136,0.134,0.597,118.298,651133,4
26sLRGYCSYSnK0cJVtcCAf,Do You Love Me? - 2011 Remastered Version,Nick Cave & The Bad Seeds,48,1994-04-18,0.469,0.649,5,-8.45,0,0.000936,0.47,0.144,0.696,125.174,357173,4
5RIqqdVaKlzXgVAzYIvGVP,Suicide,Dust,25,1972,0.423,0.953,9,-5.587,1,0.00322,0.00948,0.0661,0.613,111.53,274813,4
1FUgvjxmuYLhr3n3If07rT,Extent,Arca,22,2015-11-20,0.16,0.195,5,-18.899,0,0.632,0.937,0.155,0.0299,101.338,154538,4
29YjHuMRqoUT1ePJDw63X8,She Fucks Me,Ween,24,1991-09-20,0.677,0.332,7,-17.022,0,0.346,0.00246,0.188,0.643,138.895,237840,4
5B03J9O5CTZDrfXJnwNAPs,Starry Up,Moon Racer,4,2018-04-20,0.522,0.86,1,-5.158,1,0.3,0.895,0.393,0.961,132.234,168693,4
30PrZCK35q91CDCcmrbj8h,Rock My Boat,Dntel,20,2007-02-12,0.785,0.533,0,-10.627,1,0.855,0.592,0.11,0.449,124.918,232027,4
3s9cNgAYYh3jK4ZLbAPruH,The Hungry Wolf Of Fate,King Gizzard & The Lizard Wizard,37,2020-11-20,0.544,0.338,1,-9.624,1,0.0437,0.021,0.343,0.28,138.016,307970,4
3LlK6EuOcnAoZoaqDv8sME,Under the Floor Again,The Damned,25,1982-10-01,0.269,0.762,2,-7.843,1,0.0111,0.00018,0.276,0.141,145.271,303281,4
2pFNHjuZpdfZdvXVDKbcTH,Gauze - Remastered,Red Red Meat,11,1995-10-10,0.304,0.317,11,-9.412,1,0.0857,0.657,0.1,0.169,89.153,289627,4
4Uv1YSLlzoDDT1b9POPZ8a,Disaster,Daniel Knox,6,2007-10-05,0.574,0.0957,3,-17.834,0,0.953,0.0833,0.11,0.439,109.295,127693,4
1pIeEWK9jvhDPJtpeXaLwB,Paradise,Satanicpornocultshop,44,2010-08-09,0.565,0.621,11,-7.03,0,0.288,0.174,0.0887,0.354,169.936,227773,5
0ZaJPhvrazUn6AwvhSSKOj,"Song to Keep You Company (Live at the BBC) - Top Gear Session, 1969",Bridget St John,23,2015-02-16,0.45,0.256,11,-14.148,1,0.857,0.0143,0.106,0.293,86.965,171720,4
4nEJ4O435WvJvgZKdOPWMM,Ocean Death,Baths,38,2014-05-06,0.621,0.834,1,-11.339,0,0.152,0.757,0.403,0.0395,120.012,329924,3
